review_id,text,aspect,sentiment,aspect_id,sentiment_id,original_text,is_adversarial,complexity
3055,অভিজ্ঞ শেফ থাকায় আমাদের অভিজ্ঞতায় সেবার মান বেশ ভালোই ছিল।,service,positive,4,2,,,complex
2118,"সব মিলিয়ে খুব ভালো, মূল্য চমৎকার।",price,positive,3,2,,,medium
408,সেবার মান নিম্নমানের ছিল।,service,negative,4,0,,,simple
1426,আমরা বুকিং করে গিয়েছিলাম এবং খাবার খুব সুস্বাদু পেয়েছি।,food_quality,positive,2,2,,,medium
3222,সব মিলিয়ে খুব ভালো লেগেছে এবং কর্মচারীদের ব্যবহার ছিল প্রশংসনীয়।,service,positive,4,2,,,medium
3817,খরচ গ্রহণযোগ্য হলেও অন্য সবকিছু ছিল খুবই বাজে।,price,positive,3,2,,,medium
1389,সাজসজ্জা উপভোগ্য হলেও খাবার আসতে অনেক সময় লেগেছে।,ambiance,positive,0,2,,,medium
2678,রাশ আওয়ার থাকায় আমাদের অভিজ্ঞতায় পরিবেশ আশানুরূপ ছিল না,ambiance,negative,0,0,,,complex
1676,খাবারের পদগুলো মজাদার হলেও বাকি সবকিছু মন্দ ছিল।,food_quality,positive,2,2,,,medium
1313,সবকিছু স্বাভাবিক হলেও পরিবেশ ছিল পর্যাপ্ত।,ambiance,neutral,0,1,,,complex
3669,রিভিউ দেখে গিয়েছিলাম কিন্তু রান্নার মান ছিল বিরক্তিকর,food_quality,negative,2,0,,,medium
1805,"শুক্রবার সন্ধ্যায় গিয়েছিলাম, পরিবেশ ভালো ছিল এবং আমি আবার যাব।",ambiance,positive,0,2,,,complex
588,শুক্রবার সন্ধ্যায় গিয়েছিলাম এবং খাবারের মান নিম্নমানের ছিল।,food_quality,negative,2,0,,,medium
2648,এখানকার সেবা খুব সুন্দর।,service,positive,4,2,,,simple
2253,এখানকার আলো বিরক্তিকর।,ambiance,negative,0,0,,,simple
2568,"যদিও সবকিছু আশানুরূপ ছিল, বিশেষ করে দাম ছিল খুবই আকর্ষণীয়।",price,positive,3,2,,,complex
adv_2771_121,ওখানকার স্বচ্ছতা বা পরিচ্ছন্নতা চমৎপ্রদ। ছিল,cleanliness,positive,1,2,ওখানকার স্বচ্ছতা বা পরিচ্ছন্নতা ছিল চমৎপ্রদ।,TRUE,
adv_1081_184,স্রেফ টাকার খাবার কারণ অপচয় ছিল অত্যন্ত খারাপ,food_quality,negative,2,0,স্রেফ টাকার অপচয় কারণ খাবার ছিল অত্যন্ত খারাপ,TRUE,
840,"খাবারের পদ বিস্বাদ ছিল, পুরোটাই টাকার অপচয়।",food_quality,negative,2,0,,,medium
adv_1715_381,সবাইকে আসার অনুরোধ করব কারণ বেশ খরচ সাশ্রয়ী বা মনোরম,price,positive,3,2,সবাইকে আসার অনুরোধ করব কারণ খরচ বেশ সাশ্রয়ী বা মনোরম,TRUE,
1786,তারা দ্রুত সার্ভ করলেও ডিশগুলো জঘন্য এবং স্রেফ টাকার অপচয় ছিল।,food_quality,negative,2,0,,,complex
109,রেস্তোরাঁর আলোকসজ্জা প্রশংসনীয়। ,ambiance,positive,0,2,,,simple
2666,সবকিছু স্বাভাবিক মানের হলেও রান্না ছিল সুস্বাদু।,food_quality,positive,2,2,,,complex
3057,ব্যবহার মন্দ হলেও অন্য সবকিছু ছিল সন্তোষজনক।,service,negative,4,0,,,medium
2739,প্রচুর ভিড় ছিল এবং পরিবেশ ছিল গড়পড়তা যার ফলে সময় নষ্ট হয়েছে,ambiance,negative,0,0,,,complex
590,বুকিং করে গেলেও ওয়েটারের ব্যবহার খারাপ হওয়ায় প্রত্যাশা পূরণ হয়নি।,service,negative,4,0,,,complex
1107,সবকিছু স্বাভাবিক মানের হলেও ওয়েটারের ব্যবহার আশানুরূপ ছিল না।,service,negative,4,0,,,complex
2655,পরিমাণ কম হলেও সব মিলিয়ে পরিবেশ ছিল সুন্দর।,ambiance,positive,0,2,,,medium
215,খুবই হতাশ হয়েছি দাম অনুযায়ী সেবার মান খুবই খারাপ,price,negative,3,0,,,medium
2777,আলোকসজ্জা বেশ মনোরম ছিল,ambiance,positive,0,2,,,simple
3861,দাম কিছুটা বেশি হলেও আমাদের অভিজ্ঞতায় মূল্যমান যথেষ্ট যৌক্তিক ছিল,price,positive,3,2,,,complex
3366,অভিজ্ঞ শেফ থাকা সত্ত্বেও সব মিলিয়ে বিলের পরিমাণ ছিল অসন্তোষজনক,price,negative,3,0,,,medium
3627,বিল গ্রহণযোগ্য ছিল কিন্তু কোনো কারণে আমরা সরাসরি চলে এসেছিলাম।,price,positive,3,2,,,medium
2530,আলোকসজ্জা খুব বাজে ছিল,ambiance,negative,0,0,,,simple
2549,কর্মচারীরা অভিজ্ঞ হওয়ায় সব মিলিয়ে পরিবেশ যথেষ্ট ভালো ছিল।,ambiance,neutral,0,1,,,medium
792,সাজসজ্জা বেশ স্বাভাবিক ছিল।,ambiance,neutral,0,1,,,simple
adv_2481_178,খাবারের ডিশগুলো ছিল মোটেও না।,food_quality,negative,2,0,খাবারের ডিশগুলো মোটেও সন্তোষজনক ছিল না।,TRUE,
3270,"খাবারের মান নিম্নমানের ছিল, কিন্তু প্রাইস চলনসই।",food_quality,negative,2,0,,,mixed
1397,সবকিছু আশানুরূপ হলেও সেবার মান মোটামুটি খারাপ ছিল।,service,negative,4,0,,,complex
1853,"দাম বেশ প্রশংসনীয় ছিল, আমি সবাইকে যাওয়ার পরামর্শ দেব।",price,positive,3,2,,,medium
3955,শুক্রবার সন্ধ্যায় গিয়েছিলাম; আশা করেছিলাম ভালো হবে কিন্তু সার্ভিস ভালো ছিল না।,service,negative,4,0,,,complex
adv_1040_438,রান্না রান্না বেশ পর্যাপ্ত বা যথাযথ ছিল।,food_quality,neutral,2,1,রান্না বেশ পর্যাপ্ত বা যথাযথ ছিল।,TRUE,
2550,নতুন রেস্তোরাঁ হওয়ায় আমাদের অভিজ্ঞতায় খাবারের মান ছিল মাঝারি।,food_quality,neutral,2,1,,,complex
adv_2321_335,"খাবার আসতে অনেক সময় লাগলেও করব। ভালো ছিল, সবাইকে আসার অনুরোধ আলোকসজ্জা",ambiance,positive,0,2,"খাবার আসতে অনেক সময় লাগলেও আলোকসজ্জা ভালো ছিল, সবাইকে আসার অনুরোধ করব।",TRUE,
adv_2370_415,ঠিকমতো না হওয়ায় পরিবেশ হয়েছে। আবহাওয়া নিরস মনে বা,ambiance,negative,0,0,রান্না ঠিকমতো না হওয়ায় পরিবেশ বা আবহাওয়া নিরস মনে হয়েছে।,TRUE,
3826,দামের তুলনায় মান ভালো না হলেও অন্য সবকিছু ছিল সন্তোষজনক।,price,negative,3,0,,,medium
adv_2522_353,খারাপ ব্যবহার খুব ওয়েটারের ছিল,service,negative,4,0,ওয়েটারের ব্যবহার খুব খারাপ ছিল,TRUE,
1935,প্রাইসটা দারুণ।,price,positive,3,2,,,simple
3499,রান্না ঠিকমতো না হওয়ায় আমাদের অভিজ্ঞতায় পরিচ্ছন্নতা ছিল অস্বস্তিকর।,cleanliness,negative,1,0,,,complex
3257,"সন্তোষজনক খাদ্য, তবে অন্য কিছু বাজে।",food_quality,positive,2,2,,,medium
adv_1588_48,খাবার আসতে হলেও পরিবেশন পদ্ধতি প্রশংসনীয় ছিল।,service,positive,4,2,খাবার আসতে দেরি হলেও পরিবেশন পদ্ধতি প্রশংসনীয় ছিল।,TRUE,
425,পরিচ্ছন্নতা মানসম্মত এবং প্রত্যাশা অনুযায়ী ছিল।,cleanliness,neutral,1,1,,,medium
1438,নতুন রেস্টুরেন্ট হওয়ায় হয়তো আমাদের অভিজ্ঞতায় খাবার বিস্বাদ ছিল।,food_quality,negative,2,0,,,complex
1076,"নতুন হওয়ার কারণে সাজসজ্জা গড়পড়তা ছিল, যা স্রেফ টাকার অপচয়।",ambiance,negative,0,0,,,complex
3399,বিলের পরিমাণ ছিল অসন্তোষজনক এবং সেখানে যাওয়াটাই সময় নষ্ট হয়েছে।,price,negative,3,0,,,medium
3877,রাশ আওয়ার থাকায় আমাদের অভিজ্ঞতায় সার্ভিস বা সেবা ছিল বিরক্তিকর,service,negative,4,0,,,complex
3548,সবাইকে আসার অনুরোধ করব কারণ রান্নার মান খুব সুন্দর।,food_quality,positive,2,2,,,medium
adv_1278_483,শুক্রবার গিয়েছিলাম খারাপ ওখানকার সাজসজ্জা খুব এবং লেগেছে,ambiance,negative,0,0,শুক্রবার সন্ধ্যায় গিয়েছিলাম এবং ওখানকার সাজসজ্জা খুব খারাপ লেগেছে,TRUE,
101,"অভিজ্ঞ শেফ আছে বলে মনে হয় জন্য খাবার গ্রহণযোগ্য, পরিবারের সবাই পছন্দ করেছে।",food_quality,positive,2,2,,,complex
3888,রান্না ঠিকমতো না হলেও ওয়েটারের ব্যবহার ভালো ছিল তাই সবাইকে আসার অনুরোধ করব,service,positive,4,2,,,complex
