review_id,text,aspect,sentiment,aspect_id,sentiment_id,complexity
1170,"উপভোগ্য প্রাইস, তবে অন্য কিছু গড়।",price,positive,3,2,medium
2503,ওয়েটারের ব্যবহার নিরস ছিল তাই আর যাব না,service,negative,4,0,medium
2915,রিভিউ দেখে শুক্রবার সন্ধ্যায় গিয়েছিলাম কিন্তু খাবারের দাম অনুযায়ী মান ছিল নিরস,price,negative,3,0,complex
2979,"পরিমাণ কম হলেও খাবারের প্রতিটি পদ ছিল পছন্দের, সব মিলিয়ে খুব ভালো।",food_quality,positive,2,2,complex
581,"সব মিলিয়ে খুব ভালো, পরিবেশও সুন্দর ছিল।",ambiance,positive,0,2,medium
1014,কর্মচারীরা অভিজ্ঞ এবং খাবারের স্বাদও বেশ ভালো ছিল।,food_quality,positive,2,2,complex
3264,আমরা দাম সাধারণ পেয়েছি এবং অপেক্ষা করতে হয়নি বেশি।,price,neutral,3,1,medium
1594,সবার ব্যবহার ছিল চমৎকার।,service,positive,4,2,simple
1528,রান্না ঠিকঠাক না হওয়ায় সব মিলিয়ে খরচটা অপচয় মনে হয়েছে।,price,negative,3,0,medium
2782,ওখানকার পরিস্থিতি বা পরিবেশ ছিল একদম অসন্তোষজনক,ambiance,negative,0,0,simple
3602,"পরিমাণ কম হলেও দাম মন্দ ছিল না, তাই অবশ্যই আবার যাব।",price,positive,3,2,complex
407,পদের মান ভালো ছিল না।,food_quality,negative,2,0,simple
2765,অভিজ্ঞ শেফ থাকা সত্ত্বেও সব মিলিয়ে ওখানকার পরিচ্ছন্নতা ছিল বিরক্তিকর,cleanliness,negative,1,0,medium
1783,খাবার চমৎকার।,food_quality,positive,2,2,simple
464,নিম্নমানের সাজসজ্জা পেয়েছি।,ambiance,negative,0,0,simple
619,"রিভিউ দেখে গিয়েছিলাম, কিন্তু ডিশগুলো স্বাদহীন ছিল।",food_quality,negative,2,0,medium
3312,খাবারের মান ভালো না হলেও অন্য সবকিছু প্রশংসনীয় ছিল,food_quality,negative,2,0,medium
3162,সবকিছু চলনসই হলেও সার্ভিসের মান ছিল বেশ ভালো,service,positive,4,2,complex
3182,সেবা বা সার্ভিসের মান ঠিকঠাক ছিল,service,neutral,4,1,simple
3130,খাবারের পদগুলো সাধারণ হলেও অন্য সবকিছু ছিল প্রশংসনীয়।,food_quality,neutral,2,1,medium
2230,প্রচুর ভিড় থাকা সত্ত্বেও আমরা পদগুলো প্রশংসনীয় পেয়েছি।,food_quality,positive,2,2,medium
3301,বন্ধুদের সাথে গিয়েছিলাম এবং খাবারের মান প্রশংসনীয় ছিল,food_quality,positive,2,2,medium
394,দাম স্বাভাবিক ছিল।,price,neutral,3,1,simple
2398,সাজসজ্জা উপভোগ্য।,ambiance,positive,0,2,simple
2314,ঠিকমতো রান্না না হওয়ায় সব মিলিয়ে পদগুলো নিম্নমানের লেগেছে।,food_quality,negative,2,0,medium
3156,অনেক প্রত্যাশা ছিল কিন্তু কর্মচারীর সংখ্যা ছিল অপর্যাপ্ত,service,negative,4,0,medium
1834,এখানকার পরিবেশ একদমই পর্যাপ্ত নয়।,ambiance,negative,0,0,simple
1576,দাম অনুযায়ী মান বেশ মন্দ ছিল।,price,negative,3,0,simple
739,দাম বেশ সাশ্রয়ী ও ভালো লেগেছে।,price,positive,3,2,simple
3023,শুক্রবার সন্ধ্যায় গিয়েছিলাম এবং খাবারের মান ছিল বেশ মজাদার বা চমৎকার।,food_quality,positive,2,2,medium
1076,"নতুন হওয়ার কারণে সাজসজ্জা গড়পড়তা ছিল, যা স্রেফ টাকার অপচয়।",ambiance,negative,0,0,complex
3309,সব মিলিয়ে খুব ভালো লেগেছে এবং দামও ছিল দারুণ,price,positive,3,2,medium
3272,পরিবেশ মাঝারি।,ambiance,neutral,0,1,simple
2286,খাবার বাজে এবং খরচও অনেক বেশি।,food_quality,negative,2,0,mixed
