review_id,text,aspect,sentiment,complexity
1,মনোরম পরিবেশ ছিল। ,price,positive,simple
2,"দাম খুবই বাজে ছিল, তাই আর যাব না।",price,negative,medium
3,"খাবার ছিল মজাদার, তবে আরও ভালো বিকল্প থাকতে পারত। ",price,positive,medium
4,এখানকার দাম মোটামুটি। ,price,negative,mixed
5,"যদিও আরও ভালো হতে পারত, তবুও সেবার মান ছিল নিম্নমানের। ",price,positive,simple
6,"পরিবেশন ছিল মনোরম, তবে অন্যান্য দিক নিম্নমানের ছিল। ",service,negative,complex
7,কর্মচারীরা প্রশংসনীয় এবং খাবার গ্রহণযোগ্য ছিল। ,service,positive,medium
8,"সব মিলিয়ে রান্না নিরস লেগেছে, তাছাড়া রাশ আওয়ার ছিল। ",service,positive,mixed
9,"সবাইকে রেকমেন্ড করব, খাদ্য মজাদার। ",food_quality,negative,medium
10,"পরিবারের সবাই পছন্দ করেছে এবং পরিবেশ পছন্দসই, বুকিং করে গিয়েছিলাম। ",food_quality,positive,medium
11,সব মিলিয়ে পরিবেশ বেশ চমৎকার ছিল এবং কর্মচারীরা বেশ অভিজ্ঞ।,cleanliness,neutral,simple
12,"খাবার দারুণ ছিল, পরিবেশ সুন্দর। ",ambiance,positive,medium
13,এখানে খাবারের মান চমৎকার। গ্রহণযোগ্য দাম পেয়েছি।,cleanliness,negative,complex
14,বাজে সার্ভিস ছিল।,service,negative,simple
15,এখানে খাবারের মান চমৎকার।,food_quality,positive,simple
16,গ্রহণযোগ্য দাম পেয়েছি।,price,positive,simple
17,ব্যবহারটা প্রশংসনীয়।,service,positive,simple
18,"পরিবেশ মনোরম ছিল, আবার যাব নিশ্চিত, বসার জায়গা পেয়েছি সহজেই।",ambiance,positive,complex
19,গ্রহণযোগ্য সার্ভিস ছিল।,service,positive,simple
20,"বন্ধুদের সাথে গিয়েছিলাম এবং পরিবেশ অবিশ্বাস্য, অনেক সময় লেগেছে খাবার আসতে।",ambiance,positive,complex
21,"দ্বিতীয়বার গিয়েছি, ব্যবহার গ্রহণযোগ্য।",service,positive,medium
22,"খারাপ পরিচ্ছন্নতা, তবে অন্য কিছু ভালো।",cleanliness,negative,medium
23,"আমাদের অভিজ্ঞতায় খাবারের মান মন্দ ছিল না, কারণ নতুন বলে হয়তো।",food_quality,positive,complex
24,এখানে সেবা ঠিকঠাক।,service,neutral,simple
25,"দাম গ্রহণযোগ্য ছিল, পরিবারের সবাই পছন্দ করেছে।",price,positive,medium
26,এখানে সেবা গ্রহণযোগ্য।,service,positive,simple
27,খরচ বিরক্তিকর এবং খাবারের মানও গড়।,price,negative,mixed
28,এখানে সাজসজ্জা নিম্নমানের।,ambiance,negative,simple
29,স্বাদটা খারাপ।,food_quality,negative,simple
30,উপভোগ্য পরিবেশন ছিল।,service,positive,simple
31,"সার্ভিস মন্দ ছিল, আশা করেছিলাম ভালো হবে।",service,negative,medium
32,"ডিশ সুস্বাদু ছিল, কিন্তু পরিবেশন বাজে।",food_quality,positive,mixed
33,দাম নাগালে ছিল এবং সার্ভিস খুব ভালো লেগেছে।,price,neutral,mixed
34,"যদিও আশানুরূপ, তবুও ব্যবহার মাঝারি।",service,neutral,complex
35,"কোনো অভিযোগ নেই, পরিষ্কার-পরিচ্ছন্নতা এক কথায় অসাধারণ।",cleanliness,positive,complex
36,"সব মিলিয়ে খুব ভালো, পরিষ্কার-পরিচ্ছন্নতা সন্তোষজনক।",cleanliness,positive,medium
37,"সব মিলিয়ে সার্ভিস অপর্যাপ্ত লেগেছে, নতুন বলে হয়তো।",service,negative,medium
38,খাবারের মান গড়পড়তা হলেও কর্মীদের ব্যবহার বেশ খারাপ ছিল।,service,negative,complex
39,"দ্বিতীয়বার গিয়েছি, ব্যবহার প্রশংসনীয়।",price,positive,medium
40,"সব মিলিয়ে পরিচ্ছন্নতা অসন্তোষজনক লেগেছে, কর্মচারীরা অভিজ্ঞ।",cleanliness,negative,medium
41,আমরা পরিবেশন সুন্দর পেয়েছি এবং সরাসরি চলে গিয়েছিলাম।,service,positive,medium
42,খাদ্যটা সুস্বাদু।,food_quality,positive,simple
43,আমাদের অভিজ্ঞতা ভালো ছিল না; যদিও শেফ অভিজ্ঞ ছিলেন বলে মনে হয়েছে।,ambiance,negative,complex
44,"সব মিলিয়ে আবহাওয়া বাজে লেগেছে, কর্মচারীরা অভিজ্ঞ।",ambiance,negative,medium
45,তাই আর যাব না এবং পরিস্থিতি আশানুরূপ না।,ambiance,negative,complex
46,মন্দ কর্মচারী ছিল।,service,negative,simple
47,"সবাইকে রেকমেন্ড করবো, খাবারের মান সুস্বাদু।",food_quality,positive,medium
48,"প্রথমবার গিয়েছিলাম, সেখানকার পরিষ্কার-পরিচ্ছন্নতা মন কেড়েছে।",cleanliness,positive,medium
49,"যদিও আরও ভালো হতে পারত, তবুও কর্মচারী অপ্রীতিকর।",service,negative,complex
50,খাবারটা খারাপ।,food_quality,negative,simple
51,"সময় নষ্ট হয়েছে, ব্যবহার অপর্যাপ্ত।",service,negative,medium
52,"সার্ভিস জঘন্য ছিল, রিভিউ দেখে গিয়েছিলাম।",service,negative,complex
53,এখানে খরচ মন্দ।,price,negative,simple
54,"যদিও চলনসই, তবুও স্বচ্ছতা অপ্রীতিকর।",cleanliness,negative,complex
55,"যদিও কোনো অভিযোগ নেই, তবুও খাবারের মান ভালো না।",food_quality,negative,complex
56,"বিল গ্রহণযোগ্য ছিল, পরিবারের সবাই পছন্দ করেছে।",price,positive,medium
57,"গ্রহণযোগ্য মূল্য, তবে অন্য কিছু চলনসই।",price,positive,medium
